,user_count
2018-12-08,159
2018-12-09,188
2018-12-10,227
2018-12-11,222
2018-12-12,214
2018-12-13,209
2018-12-14,166
2018-12-15,227
2018-12-16,198
2018-12-17,233
2018-12-18,183
2018-12-19,192
2018-12-20,207
2018-12-21,192
2018-12-22,212
2018-12-23,178
2018-12-24,200
2018-12-25,209
2018-12-26,214
2018-12-27,199
2018-12-28,198
2018-12-29,215
2018-12-30,219
2018-12-31,260
2019-01-01,313
2019-01-02,276
2019-01-03,273
2019-01-04,202
2019-01-05,194
2019-01-06,241
2019-01-07,234
2019-01-08,209
2019-01-09,216
2019-01-10,226
2019-01-11,201
2019-01-12,184
2019-01-13,198
2019-01-14,215
2019-01-15,208
2019-01-16,225
2019-01-17,234
2019-01-18,174
2019-01-19,200
2019-01-20,202
2019-01-21,214
2019-01-22,206
2019-01-23,226
2019-01-24,228
2019-01-25,179
2019-01-26,197
2019-01-27,208
2019-01-28,236
2019-01-29,234
2019-01-30,199
2019-01-31,180
2019-02-01,209
2019-02-02,215
2019-02-03,226
2019-02-04,258
2019-02-05,224
2019-02-06,206
2019-02-07,233
2019-02-08,206
2019-02-09,210
2019-02-10,248
2019-02-11,242
2019-02-12,250
2019-02-13,233
2019-02-14,250
2019-02-15,214
2019-02-16,197
2019-02-17,200
2019-02-18,225
2019-02-19,220
2019-02-20,242
2019-02-21,230
2019-02-22,221
2019-02-23,203
2019-02-24,211
2019-02-25,223
2019-02-26,238
2019-02-27,195
2019-02-28,216
2019-03-01,226
2019-03-02,216
2019-03-03,207
2019-03-04,230
2019-03-05,238
2019-03-06,248
2019-03-07,247
2019-03-08,231
2019-03-09,216
2019-03-10,234
2019-03-11,244
2019-03-12,212
2019-03-13,210
2019-03-14,232
2019-03-15,210
2019-03-16,204
2019-03-17,243
2019-03-18,251
2019-03-19,244
2019-03-20,237
2019-03-21,227
2019-03-22,234
2019-03-23,252
2019-03-24,235
2019-03-25,231
2019-03-26,261
2019-03-27,225
2019-03-28,220
2019-03-29,233
2019-03-30,213
2019-03-31,223
2019-04-01,250
2019-04-02,222
2019-04-03,233
2019-04-04,229
2019-04-05,219
2019-04-06,229
2019-04-07,275
2019-04-08,266
2019-04-09,274
2019-04-10,230
2019-04-11,228
2019-04-12,217
2019-04-13,229
2019-04-14,237
2019-04-15,248
2019-04-16,245
2019-04-17,225
2019-04-18,232
2019-04-19,237
2019-04-20,240
2019-04-21,251
2019-04-22,262
2019-04-23,282
2019-04-24,278
2019-04-25,234
2019-04-26,239
2019-04-27,207
2019-04-28,220
2019-04-29,256
2019-04-30,277
2019-05-01,239
2019-05-02,242
2019-05-03,253
2019-05-04,244
2019-05-05,234
2019-05-06,279
2019-05-07,269
2019-05-08,274
2019-05-09,242
2019-05-10,235
2019-05-11,231
2019-05-12,229
2019-05-13,277
2019-05-14,253
2019-05-15,249
2019-05-16,217
2019-05-17,226
2019-05-18,220
2019-05-19,239
2019-05-20,209
2019-05-21,258
2019-05-22,229
2019-05-23,244
2019-05-24,271
2019-05-25,229
2019-05-26,241
2019-05-27,257
2019-05-28,273
2019-05-29,259
2019-05-30,290
2019-05-31,251
2019-06-01,237
2019-06-02,237
2019-06-03,253
2019-06-04,285
2019-06-05,263
2019-06-06,252
2019-06-07,259
2019-06-08,252
2019-06-09,262
2019-06-10,258
2019-06-11,267
2019-06-12,284
2019-06-13,266
2019-06-14,256
2019-06-15,246
2019-06-16,248
2019-06-17,252
2019-06-18,275
2019-06-19,236
2019-06-20,279
2019-06-21,229
2019-06-22,232
2019-06-23,323
2019-06-24,284
2019-06-25,312
2019-06-26,323
2019-06-27,313
2019-06-28,276
2019-06-29,279
2019-06-30,335
2019-07-01,329
2019-07-02,264
2019-07-03,286
2019-07-04,297
2019-07-05,298
2019-07-06,254
2019-07-07,278
2019-07-08,321
2019-07-09,283
2019-07-10,310
2019-07-11,299
2019-07-12,249
2019-07-13,291
2019-07-14,266
2019-07-15,299
2019-07-16,277
2019-07-17,283
2019-07-18,290
2019-07-19,281
2019-07-20,280
2019-07-21,323
2019-07-22,296
2019-07-23,288
2019-07-24,267
2019-07-25,251
2019-07-26,312
2019-07-27,283
2019-07-28,268
2019-07-29,283
2019-07-30,282
2019-07-31,264
2019-08-01,239
2019-08-02,258
2019-08-03,284
2019-08-04,299
2019-08-05,287
2019-08-06,293
2019-08-07,310
2019-08-08,283
2019-08-09,239
2019-08-10,278
2019-08-11,297
2019-08-12,299
2019-08-13,335
2019-08-14,266
2019-08-15,297
2019-08-16,285
2019-08-17,281
2019-08-18,307
2019-08-19,324
2019-08-20,300
2019-08-21,267
2019-08-22,278
2019-08-23,265
2019-08-24,289
2019-08-25,305
2019-08-26,301
2019-08-27,330
2019-08-28,325
2019-08-29,293
2019-08-30,248
2019-08-31,224
2019-09-01,303
2019-09-02,284
2019-09-03,300
2019-09-04,295
2019-09-05,305
2019-09-06,272
2019-09-07,298
2019-09-08,298
2019-09-09,333
2019-09-10,305
2019-09-11,297
2019-09-12,271
2019-09-13,228
2019-09-14,246
2019-09-15,294
2019-09-16,314
2019-09-17,297
2019-09-18,262
2019-09-19,274
2019-09-20,251
2019-09-21,270
2019-09-22,294
2019-09-23,323
2019-09-24,322
2019-09-25,302
2019-09-26,234
2019-09-27,237
2019-09-28,250
2019-09-29,353
2019-09-30,320
2019-10-01,310
2019-10-02,282
2019-10-03,283
2019-10-04,248
2019-10-05,253
