,post_count,comment_count
2017-09-03,-1.0282296428927122,-0.5542303611246007
2017-09-04,-0.886428451223699,-0.3716473414158403
2017-09-05,-0.19767980597420512,-0.4401159738066254
2017-09-06,-0.15716517978305844,-0.7254019421015634
2017-09-07,-0.5217968155033786,-0.9650421554693114
2017-09-08,-0.6838553202679655,-0.7482248195651585
2017-09-09,-1.4333759048041792,-0.9650421554693114
2017-09-10,-0.9066857643192723,-1.090567981519084
2017-09-11,-0.7041126333635388,-1.0106879103965014
2017-09-12,-0.5623114416945254,-1.1590366139098691
2017-09-13,-0.4610248762166586,-1.2389166850324518
2017-09-14,-1.0282296428927122,-1.5812598469863774
2017-09-15,-0.6838553202679655,-1.0848622621531854
2017-09-16,-1.3320893393263125,-1.6040827244499725
2017-09-17,-1.2510600869440192,-0.7653419776628547
2017-09-18,-0.3192236845476452,-0.33741302522044775
2017-09-19,-0.6838553202679655,-0.26894439282966265
2017-09-20,-1.0282296428927122,-0.7196962227356647
2017-09-21,-0.33948099764321854,-0.8737506456149312
2017-09-22,-0.886428451223699,-0.1148899699503961
2017-09-23,-1.6156917226643395,-0.6226989935153857
2017-09-24,-1.3118320262307392,-0.5485246417587019
2017-09-25,-0.7041126333635388,0.14757312088094685
2017-09-26,-0.5217968155033786,-0.1434185667798899
2017-09-27,-0.8256565119369789,0.096221646587858
2017-09-28,-0.9269430774148456,-0.10918425058449735
2017-09-29,-0.7446272595546855,-0.7139905033697659
2017-09-30,-1.352346652421886,-1.0278050684941977
2017-10-01,-1.7169782881422062,-1.1476251751780717
2017-10-02,-0.7243699464591121,-1.4500283015707058
2017-10-03,-0.6433406940768187,-0.6968733452720697
2017-10-04,-0.9472003905104189,-1.353031072350427
2017-10-05,-1.007972329797139,-1.2674452818619457
2017-10-06,-1.6562063488554861,-1.780960024792834
2017-10-07,-1.190288147657299,-1.4100882660094147
2017-10-08,-1.2915747131351658,-1.0620393846895904
2017-10-09,-0.7243699464591121,-0.39447021887943534
2017-10-10,-0.6230833809812454,0.09051592722195925
2017-10-11,-0.6838553202679655,0.33015614058970716
2017-10-12,-1.0484869559882857,-0.06353849565730726
2017-10-13,-0.5825687547900987,0.022047294831174135
2017-10-14,-1.2713174000395926,-1.4043825466435158
2017-10-15,-1.129516208370579,-1.5983770050840738
2017-10-16,-0.4407675631210853,-0.902279242444425
2017-10-17,-0.3597383107387919,-0.1719471636093837
2017-10-18,-0.9269430774148456,-0.6569333097107783
2017-10-19,-0.9877150167015657,-1.0392165072259951
2017-10-20,-1.068744269083859,-0.7254019421015634
2017-10-21,-1.413118591708606,-0.8623392068831337
2017-10-22,-0.5623114416945254,-0.7254019421015634
2017-10-23,-0.9269430774148456,0.22745319200352948
2017-10-24,-0.542054128598952,-0.08636137312090231
2017-10-25,-0.481282189312232,0.5869135120551514
2017-10-26,-0.9472003905104189,-1.0962737008849828
2017-10-27,-1.068744269083859,-0.7311076614674622
2017-10-28,-1.1700308345617259,-0.8623392068831337
2017-10-29,-0.9674577036059923,-0.6968733452720697
2017-10-30,-1.1497735214661524,-1.2731510012278444
2017-10-31,-0.5217968155033786,-0.8623392068831337
2017-11-01,-0.5825687547900987,-0.4458216931725242
2017-11-02,-0.8661711381281255,0.16469027897864313
2017-11-03,-0.9472003905104189,-0.4458216931725242
2017-11-04,-1.413118591708606,-1.4785568984001998
2017-11-05,-1.0484869559882857,-0.782459135760551
2017-11-06,-0.29896637145207183,-0.3887644995135366
2017-11-07,-0.37999562383436525,-0.1719471636093837
2017-11-08,-0.8661711381281255,-0.05212705692550974
2017-11-09,-0.8053991988414055,-0.14912428614578865
2017-11-10,-1.0484869559882857,-0.902279242444425
2017-11-11,-1.5144051571864727,-1.5983770050840738
2017-11-12,-1.2915747131351658,-1.2217995269347555
2017-11-13,-0.9674577036059923,-1.210388088202958
2017-11-14,-0.5825687547900987,-0.331707305854549
2017-11-15,-0.4002529369299386,-0.5941703966858919
2017-11-16,-1.0282296428927122,-0.2746501121955614
2017-11-17,-1.0282296428927122,-0.8851620843467287
2017-11-18,-0.9877150167015657,-0.46864457063611925
2017-11-19,-0.8661711381281255,-0.24041579600016882
2017-11-20,-0.015363988114045001,-0.04071561819371223
2017-11-21,-0.9674577036059923,-0.474350290002018
2017-11-22,-1.0890015821794323,-1.4785568984001998
2017-11-23,-1.129516208370579,-1.0335107878600964
2017-11-24,-1.2510600869440192,-0.8965735230785262
2017-11-25,-1.190288147657299,-1.7467257085974415
2017-11-26,-1.068744269083859,-1.5698484082545798
2017-11-27,-0.7648845726502588,-0.331707305854549
2017-11-28,-0.09639324049633839,-0.04071561819371223
2017-11-29,0.06566526426824838,-0.782459135760551
2017-11-30,0.004893324981528345,0.027753014197072892
2017-12-01,-0.8256565119369789,-0.6968733452720697
2017-12-02,-1.129516208370579,-0.8281048906877411
2017-12-03,-0.9674577036059923,-0.8965735230785262
2017-12-04,-0.2584517452609252,0.22174747263763073
2017-12-05,-0.6028260678856721,-0.474350290002018
2017-12-06,-0.8256565119369789,-1.1476251751780717
2017-12-07,-0.886428451223699,-0.21188719917067503
2017-12-08,-1.0890015821794323,-0.8223991713218424
2017-12-09,-1.190288147657299,-1.1704480526416667
2017-12-10,-1.1700308345617259,-1.375853949814022
2017-12-11,-0.07613592740076504,-0.14912428614578865
2017-12-12,-0.6028260678856721,-0.7425191001992597
2017-12-13,-0.4407675631210853,-0.6284047128812845
2017-12-14,-0.9066857643192723,-0.9079849618103237
2017-12-15,-1.2915747131351658,-1.2446224043983505
2017-12-16,-1.534662470282046,-1.7124913924020488
2017-12-17,-1.0890015821794323,-1.0848622621531854
2017-12-18,-0.8053991988414055,-0.902279242444425
2017-12-19,-1.0890015821794323,-0.92510211990802
2017-12-20,-1.2915747131351658,-1.5812598469863774
2017-12-21,-0.7041126333635388,-0.7254019421015634
2017-12-22,-1.2308027738484457,-1.2902681593255407
2017-12-23,-0.8053991988414055,-0.8965735230785262
2017-12-24,-1.3118320262307392,-0.6055818354176895
2017-12-25,-1.5751770964731926,-0.8338106100536399
2017-12-26,-0.886428451223699,-0.9193964005421212
2017-12-27,-1.3320893393263125,-0.8395163294195386
2017-12-28,-0.2787090583564985,-0.8965735230785262
2017-12-29,-0.8053991988414055,-0.9821593135670076
2017-12-30,-0.5825687547900987,-1.044922226591894
2017-12-31,-1.0282296428927122,-0.7995762938582474
2018-01-01,-1.0484869559882857,-1.1590366139098691
2018-01-02,-0.4002529369299386,0.11904452405145305
2018-01-03,-0.542054128598952,-0.30317870902505517
2018-01-04,-0.6230833809812454,-0.7025790646379684
2018-01-05,-0.7648845726502588,-1.1076851396167804
2018-01-06,-1.3726039655174593,-0.8908678037126274
2018-01-07,-0.6433406940768187,-0.6112875547835882
2018-01-08,0.045407951172675036,0.1703959983445419
2018-01-09,-0.3192236845476452,-0.012187021364218426
2018-01-10,0.26823839522398185,0.12475024341735182
2018-01-11,-0.2787090583564985,1.2088369229381162
2018-01-12,-0.42051025002551196,0.37580189551689724
2018-01-13,-1.0484869559882857,-1.1590366139098691
2018-01-14,-1.1497735214661524,-0.9593364361034126
2018-01-15,-0.7851418857458322,-0.5827589579540944
2018-01-16,0.22772376903283517,-0.14912428614578865
2018-01-17,0.045407951172675036,-0.22329863790247254
2018-01-18,-0.5217968155033786,-0.5257017642951068
2018-01-19,-0.09639324049633839,0.5355620377620626
2018-01-20,-1.007972329797139,-1.0335107878600964
2018-01-21,-0.9472003905104189,-0.759636258296956
2018-01-22,0.06566526426824838,-0.29176727029325766
2018-01-23,-0.33948099764321854,-0.22329863790247254
2018-01-24,-0.19767980597420512,-0.08065565375500354
2018-01-25,-0.33948099764321854,-0.42299881570892917
2018-01-26,-0.8661711381281255,-1.1305080170803754
2018-01-27,-0.8053991988414055,-1.0278050684941977
2018-01-28,-0.7851418857458322,0.24457035010122577
2018-01-29,-0.2787090583564985,-0.5542303611246007
2018-01-30,-0.2787090583564985,-0.3716473414158403
2018-01-31,-0.2584517452609252,-0.4115873769771316
2018-02-01,-0.17742249287863177,-1.0962737008849828
